DrugBank ID,UniProt ID,Rank - balanced,Score - balanced,Rank - non balanced,Score - non balanced
DB13996,P43487,623,0.4168,696,0.4407
DB00331,Q9NWZ5,1512,0.2021,1640,0.1336
DB01188,Q13163,2228,0.1379,1344,0.1201
DB00999,Q03154,775,0.2057,1860,0.1078
DB04951,P40616,2372,0.0975,2048,0.0711
DB12095,P51451,71,0.6357,85,0.5132
DB01345,Q32P28,636,0.291,832,0.2178
DB01613,P37023,2178,0.1028,2168,0.0665
DB06780,P15954,167,0.4641,217,0.4166
DB06209,Q8WWL2,842,0.1989,691,0.1649
DB03310,Q9Y2Q0,568,0.3919,917,0.2869
DB11081,Q9UGM1,1372,0.2157,388,0.3165
DB00535,Q9UJT0,1685,0.1775,1331,0.1584
DB00175,P05230,2049,0.1465,1196,0.1829
DB01164,P05067,9,0.9218,5,0.9722
DB01348,Q15796,1391,0.1742,1508,0.1158
DB09536,Q86XF0,2315,0.0699,1655,0.1407
DB00691,P35462,162,0.4001,66,0.6472
DB01157,P19835,621,0.1967,737,0.1223
DB00848,O75438,1957,0.1344,2334,0.0642
DB08828,P08253,617,0.2531,576,0.2029
DB08865,P41231,924,0.1496,1124,0.0939
DB09327,O43193,422,0.2471,872,0.1517
DB01324,P47869,2569,0.0908,37,0.5794
DB00448,P40394,1169,0.1557,1805,0.0813
DB00429,Q9UHF0,361,0.4297,586,0.301
DB13125,Q6YP21,2288,0.1071,1601,0.0928
DB00666,Q9BYT3,790,0.1918,316,0.214
DB00550,P39086,21,0.5551,33,0.6385
DB09517,P08697,461,0.3729,535,0.3154
DB12161,O15392,121,0.3315,175,0.276
DB01282,Q13164,2625,0.0815,2620,0.0351
DB00309,P40616,2276,0.1255,2340,0.0711
DB00982,O75251,1078,0.2749,1050,0.2134
DB00439,P63244,1758,0.1587,2090,0.0958
DB11979,P51955,286,0.3684,283,0.3024
DB13615,P00395,814,0.2878,872,0.2207
DB00643,P01116,2606,0.0513,2273,0.0518
DB00188,Q9H015,725,0.2086,768,0.1647
DB00839,Q4W8W1,793,0.19,910,0.1343
DB00140,Q8NBQ5,1708,0.1703,2052,0.0941
DB00322,P49761,1966,0.139,2198,0.0798
DB13170,Q9Y698,1007,0.2498,1262,0.169
DB00626,P01584,1974,0.1523,1267,0.1345
DB00471,O60285,382,0.2907,651,0.1627
DB01251,P07737,2207,0.088,2102,0.0606
DB01080,Q15750,1160,0.2993,1211,0.2356
DB11363,P04746,2407,0.0901,2291,0.0527
DB00790,P01133,891,0.2721,712,0.2216
DB01090,P05108,1860,0.1698,1890,0.1093
DB00724,Q8N1C3,516,0.2685,226,0.3571
DB00765,P04746,29,0.6918,47,0.5993
DB00631,P32019,745,0.2669,1169,0.1674
DB09477,P48729,2492,0.0744,2301,0.0724
DB06785,P07498,934,0.191,1104,0.1374
DB00356,Q15759,2411,0.119,233,0.2865
DB11652,P19404,1376,0.113,1319,0.0833
DB00881,P06858,1050,0.1739,998,0.137
DB01250,Q8TCC7,504,0.2383,475,0.2049
DB00927,P21266,286,0.3316,340,0.2822
DB05013,O60674,2580,0.0479,2558,0.0258
DB05351,P12314,1601,0.1295,1193,0.1069
DB00452,Q9Y5N1,2199,0.085,2601,0.0077
DB05246,P23083,1405,0.1682,1296,0.104
DB00763,P15328,1813,0.17,1320,0.1385
DB14723,P05155,2170,0.0982,2232,0.0609
DB11963,Q14697,1178,0.1201,1175,0.081
DB01007,Q7RTV2,331,0.2727,538,0.1701
DB08907,P00492,1373,0.1723,1112,0.149
DB06174,Q96RP8,594,0.2406,836,0.1349
DB14783,P30874,2217,0.1171,2245,0.0709
DB00722,P10636,1482,0.1693,1972,0.0976
DB01024,P36871,1259,0.2308,954,0.1934
DB01120,Q96HD9,2118,0.1219,1984,0.0902
DB11951,Q9UQD0,272,0.5449,359,0.3398
DB01167,P48047,1570,0.141,1266,0.1049
DB13908,P20061,1534,0.181,1958,0.0908
DB09282,Q02750,2467,0.0785,2528,0.0491
DB01166,O60669,1871,0.1361,1672,0.0857
DB01030,F5GY58,771,0.1958,787,0.1424
DB01015,O14578,436,0.2851,350,0.2277
DB00374,Q8N907,1768,0.174,2043,0.0884
DB00822,O60427,366,0.3702,482,0.2831
DB06813,Q16222,1420,0.1737,1419,0.1464
DB00808,P29597,549,0.2727,711,0.1681
DB00895,Q15788,2118,0.1324,2507,0.0381
DB00428,P08709,2386,0.041,2549,0.0095
DB12500,P17050,1818,0.0761,1727,0.0562
DB04173,P23368,480,0.4165,646,0.3105
DB09421,Q07020,939,0.2076,1665,0.1251
DB00700,Q9NXG6,1221,0.2074,845,0.1658
DB01632,Q9H2K8,2148,0.0666,2091,0.0654
DB09343,P14649,313,0.2667,260,0.2189
DB06689,P17812,952,0.308,1197,0.1972
DB00864,P30519,740,0.2652,420,0.2398
DB00820,P05113,1114,0.1631,1267,0.0988
DB11254,O75874,2344,0.0916,2359,0.0552
DB00759,P51858,1760,0.1687,1546,0.1183
DB04868,Q9Y600,1857,0.088,1761,0.0695
DB09143,P61160,982,0.1506,1354,0.0868
DB00509,O43708,326,0.2943,278,0.2742
DB00198,Q9NYR8,912,0.2555,760,0.1971
DB11842,P01619,1739,0.1506,518,0.174
DB12001,Q96EN8,1115,0.1306,1219,0.0815
DB00358,P80404,2580,0.0884,2604,0.0457
DB00518,P51692,765,0.1959,833,0.1372
DB01002,Q9GZP0,524,0.2273,523,0.1583
DB11217,Q8N119,1849,0.1482,1797,0.1077
DB01255,P22570,1639,0.157,1233,0.1279
DB11732,P51617,366,0.3728,297,0.3457
DB01126,Q00975,692,0.2063,409,0.2019
DB00798,Q9ULK0,1932,0.1385,1927,0.096
DB01599,O14756,2161,0.1525,2136,0.1002
DB09054,P02787,2516,0.0544,2645,0.0146
DB00156,Q9UF02,982,0.3257,1391,0.1814
DB11942,P42766,2372,0.1103,1678,0.1067
DB00686,P08100,780,0.3113,791,0.2683
DB00495,P25105,2283,0.0969,2425,0.0515
DB09112,P05108,1981,0.1258,2017,0.0848
DB12015,Q16773,2448,0.0939,2336,0.0652
DB09074,P03886,2546,0.0758,2535,0.0404
DB00235,P62753,1652,0.129,1585,0.0913
DB00287,P20823,1190,0.2052,895,0.1524
DB09073,P50453,1784,0.0984,1593,0.0734
DB15444,O43174,655,0.2131,848,0.1383
DB06795,Q9Y5S8,897,0.1865,443,0.1938
DB01430,O43175,1432,0.13,1580,0.087
DB00214,O60894,2057,0.1057,2317,0.0638
DB00558,P15336,1800,0.1708,1713,0.1342
DB00501,P19622,1259,0.2,1277,0.1401
DB08872,P16435,1968,0.1489,1981,0.0932
DB00796,P61586,2109,0.0879,1637,0.0783
DB00746,P09960,2279,0.0933,2359,0.0368
