DrugBank ID,UniProt ID,Rank - balanced,Score - balanced,Rank - non balanced,Score - non balanced
DB13996,P05023,135,0.9661,24,0.9940
DB00331,P21695,1330,0.2197,1237,0.1714
DB01188,P05023,923,0.1962,186,0.2713
DB00999,P55017,8,0.9918,6,1.0000
DB04951,P09958,1568,0.1423,1924,0.0762
DB12095,P17752,2,0.9425,2,0.9696
DB01345,P05023,8,0.7555,10,0.8169
DB01613,P16066,2,0.9871,2,0.9964
DB06780,P08235,2,0.9957,3,0.9985
DB06209,Q9H244,26,0.6372,43,0.6453
DB03310,P00390,11,0.9154,11,0.9603
DB11081,P00367,444,0.3267,579,0.2619
DB00535,P05164,2142,0.1294,1962,0.1106
DB00175,P04035,2,0.9823,2,0.9952
DB01164,Q99584,159,0.7298,140,0.9059
DB01348,P12821,1,0.9849,1,0.9962
DB09536,Q9UEW3,94,0.5558,166,0.5192
DB00691,P12821,2,0.9843,2,0.9957
DB01157,P00374,1,0.9852,1,0.9993
DB00848,P10696,1262,0.1722,1575,0.0986
DB08828,Q99835,523,0.3047,383,0.3021
DB08865,P08581,101,0.7950,54,0.8158
DB09327,P04818,2,0.9566,2,0.9741
DB01324,P55017,8,0.9668,6,0.9902
DB00448,P10636,732,0.2086,808,0.1423
DB00429,P34995,4,0.9285,3,0.9750
DB13125,P40238,211,0.3784,296,0.2946
DB00666,P30968,1,0.9954,1,1.0000
DB00550,P07202,24,0.5244,58,0.5229
DB09517,P02792,21,0.6099,53,0.5605
DB12161,Q05940,2,0.8583,2,0.9161
DB01282,P30559,4,0.9672,4,0.9861
DB00309,Q9H4B7,18,0.9603,18,0.9782
DB00982,P10276,17,0.9906,1,0.9995
DB00439,P04035,1,0.9755,1,0.9923
DB11979,P30968,47,0.6098,40,0.5940
DB13615,O00206,12,0.8146,9,0.8816
DB00643,P68371,9,0.9354,8,0.9712
DB00188,P20618,133,0.4045,115,0.3721
DB00839,Q09428,4,0.9675,4,0.9883
DB00140,P30043,3,0.9775,2,0.9915
DB00322,P04818,1,0.9963,1,1.0000
DB13170,P33402,677,0.2809,816,0.2097
DB00626,P01023,1512,0.1749,472,0.1891
DB00471,P09917,226,0.3452,184,0.3274
DB01251,Q09428,4,0.9264,4,0.9620
DB01080,P80404,2,0.9694,2,0.9863
DB11363,Q9UM73,4,0.8015,31,0.8059
DB00790,P12821,3,0.9451,3,0.9816
DB01090,P30926,12,0.9290,10,0.9665
DB00724,Q9NR97,4,0.8118,10,0.8584
DB00765,P07101,32,0.6799,21,0.7939
DB00631,P09884,3,0.9802,3,0.9943
DB09477,P12821,1,0.9954,1,1.0000
DB06785,P30968,1,0.9813,1,0.9945
DB00356,Q12791,6,0.6719,37,0.6891
DB11652,P04626,9,0.9752,4,0.9870
DB00881,P12821,1,0.9918,1,1.0000
DB01250,P01579,858,0.2017,1174,0.1407
DB00927,P25021,120,0.3768,2150,0.0717
DB05013,P17252,141,0.3862,73,0.4871
DB05351,O94760,9,0.7465,15,0.7948
DB00452,P61073,2333,0.0610,2361,0.0302
DB05246,O43497,81,0.4764,45,0.8992
DB00763,P07202,2,0.7258,2,0.8117
DB14723,P04629,3,0.9563,4,0.9654
DB11963,P00533,1,0.9957,1,1.0000
DB01007,Q16850,6,0.9408,12,0.9719
DB08907,P31639,5,0.7685,5,0.8120
DB06174,Q99720,295,0.3814,183,0.4407
DB14783,Q9GZZ6,1719,0.1945,132,0.3474
DB00722,P00797,216,0.4298,261,0.3201
DB01024,P12268,2,0.9871,2,0.9962
DB01120,P15692,1505,0.1474,2434,0.0653
DB11951,O43613,6,0.9244,5,0.9624
DB01167,Q16850,6,0.7714,5,0.8414
DB13908,Q99250,76,0.5637,59,0.8204
DB09282,P33402,524,0.2608,1292,0.1427
DB01166,Q14432,471,0.2563,237,0.2950
DB01030,P11387,1,0.9926,1,1.0000
DB01015,P09211,858,0.1908,914,0.1380
DB00374,P43119,8,0.8517,13,0.9212
DB00822,P05091,1059,0.2646,715,0.2379
DB06813,P00374,2,0.9838,2,0.9945
DB00808,P55017,7,0.9532,7,0.9680
DB00895,P12319,1075,0.2224,1136,0.1584
DB00428,O60502,1680,0.1820,1459,0.1741
DB12500,O60674,41,0.9672,32,0.9833
DB04173,P49789,281,0.4898,154,0.5641
DB09421,P34981,456,0.2557,1698,0.1232
DB00700,P08235,1,0.9727,2,0.9915
DB01632,P00492,219,0.6362,249,0.6183
DB09343,P19971,1177,0.1964,1450,0.1231
DB06689,P00748,1674,0.1850,1323,0.1788
DB00864,P62942,1,0.9864,1,0.9965
DB00820,O76074,255,0.4318,115,0.5159
DB11254,P11387,2014,0.1525,1655,0.1109
DB00759,P04156,1209,0.1898,982,0.1385
DB04868,P00519,2,0.9925,1,1.0000
DB09143,Q99835,430,0.3477,262,0.4099
DB00509,P07202,422,0.2728,357,0.2473
DB00198,Q99519,1171,0.2344,1179,0.1661
DB11842,P30556,18,0.8541,31,0.7616
DB12001,P11802,2,0.9867,4,0.9889
DB00358,P29274,201,0.3472,101,0.4083
DB00518,P68371,7,0.9775,7,0.9924
DB01002,Q9Y5Y9,1,0.9912,1,1.0000
DB11217,P14679,17,0.8193,30,0.8040
DB01255,Q96RJ0,11,0.8349,23,0.8818
DB11732,P30939,19,0.8315,109,0.6667
DB01126,P31213,4,0.9495,5,0.9779
DB00798,P98164,1970,0.1329,2149,0.0710
DB01599,O95477,2442,0.1255,2558,0.0673
DB09054,O00329,24,0.9534,9,0.9820
DB00156,P26639,45,0.8238,84,0.7965
DB11942,O14980,1176,0.1634,1125,0.1297
DB00686,P08620,23,0.6225,48,0.6146
DB00495,O14746,1676,0.1855,1706,0.1240
DB09112,P02144,3,0.8249,3,0.9476
DB12015,P42336,377,0.3013,280,0.2638
DB09074,Q9UGN5,16,0.7480,15,0.8344
DB00235,Q14432,1,0.9440,2,0.9740
DB00287,P43088,1,0.9768,1,0.9909
DB09073,P11802,4,0.9896,4,0.9967
DB15444,P13569,270,0.3309,204,0.2984
DB06795,P23280,12,0.8606,14,0.9008
DB01430,P05023,2484,0.0808,2593,0.0374
DB00214,P55011,2,0.9256,2,0.9596
DB00558,Q9Y3R4,1,0.9520,1,0.9786
DB00501,P25021,1,0.9609,1,0.9803
DB08872,Q9NY47,2,0.9549,2,0.9824
DB00796,P30556,1,0.9826,1,0.9941
DB00746,P05067,847,0.2940,875,0.2352
DB04115,O15392,608,0.2441,590,0.2121
DB00544,P04818,14,0.6905,8,0.8420
DB01586,P52895,3,0.9902,4,0.9995
DB02893,P50579,3,0.9906,3,0.9995
DB09121,O95622,44,0.8320,57,0.8679
DB00993,P63000,1285,0.1847,676,0.1740
DB00710,P14324,2,0.9649,2,0.9861
DB08883,P42261,2406,0.0742,2500,0.0395
DB00946,Q9BQB6,1,0.9782,2,0.9941
DB00492,P12821,1,0.9232,1,0.9654
DB00296,Q9Y5Y9,1,0.9917,1,1.0000
DB04865,P39023,1933,0.1564,2094,0.0923
DB00437,P47989,184,0.3568,79,0.4540
DB06154,P68871,3,0.8769,3,0.9509
DB00222,P48048,5,0.9115,5,0.9530
DB00561,O14649,11,0.8749,49,0.9106
DB02638,P47901,4,0.9845,4,0.9951
DB05630,P11387,2128,0.1013,2077,0.0681
DB06410,P11473,1,0.9941,1,1.0000
DB01378,P05023,13,0.6246,8,0.7147
DB09418,Q92911,1574,0.1962,1716,0.1346
DB00190,P20711,2,0.9511,2,0.9812
DB11588,P02144,1,0.8023,1,0.9251
DB00158,P14207,3,0.9801,3,0.9940
DB09116,P48448,1534,0.2007,1707,0.1329
DB11136,P00167,78,0.5117,94,0.5035
DB00007,P30968,1,0.9866,1,0.9960
DB11611,P20701,142,0.5108,85,0.5039
DB00883,P16066,11,0.6312,18,0.6773
DB01095,Q92769,11,0.7041,16,0.6548
DB00446,P08174,1136,0.2028,862,0.1663
DB00130,P17812,1309,0.2621,1642,0.1451
DB08908,Q14145,1560,0.2044,1745,0.1327
DB00513,P08519,1101,0.3112,938,0.3002
DB00152,O60779,1334,0.1865,1720,0.1172
DB04838,P54289,327,0.2736,334,0.2320
DB00552,P00813,5,0.8353,5,0.9131
DB01180,P12821,650,0.2170,853,0.1396
DB09148,P05067,1,0.9741,1,0.9905
DB00770,P43116,3,0.9868,3,0.9968
DB04564,P09848,3,0.9880,5,0.9968
DB11641,P07437,1,0.9890,1,0.9975
DB00987,P06746,417,0.3810,160,0.5802
DB14527,P00167,13,0.8245,14,0.8718
DB11560,Q96S37,2,0.8521,4,0.9019
DB00206,O15392,463,0.2762,420,0.2466
DB05018,P06280,797,0.3263,1189,0.1999
DB12887,Q15910,310,0.3875,201,0.4006
DB11660,P43088,1,0.9626,1,0.9846
DB04465,P17931,378,0.5045,313,0.5286
DB01216,P31213,3,0.9688,3,0.9876
DB00307,P48443,6,0.9845,6,0.9957
DB09030,P25116,513,0.2757,564,0.1970
DB00855,P13716,1,0.9834,1,0.9958
DB05812,P05093,37,0.7743,73,0.7639
DB01092,P13637,3,0.9854,3,0.9934
DB00900,P00491,1,0.9512,1,0.9794
DB00641,P20701,5,0.9409,5,0.9768
DB01083,P07098,38,0.7229,27,0.7730
DB00565,Q15822,1,0.9928,1,0.9995
DB00551,P39900,975,0.3086,658,0.3526
DB09257,Q12882,2,0.7175,4,0.7322
DB11157,Q99456,199,0.4161,220,0.3189
DB09280,P13569,89,0.6546,93,0.6343
DB03585,Q9NZK7,135,0.4004,253,0.3003
DB01113,Q9Y233,5,0.9387,5,0.9584
DB01158,P05023,2509,0.0973,2228,0.0709
